timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650009674087,577,PlaceOrder,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-2,,true,,765,948,4,4,null,577,1,0
1650009674640,48,Delete1-239,200,OK,AddToCart 4-4,text,true,,5963,482,3,3,https://www.demoblaze.com/cart.html,46,0,0
1650009674477,253,Delete1-255,200,OK,AddToCart 4-3,text,true,,449,480,3,3,https://api.demoblaze.com/viewcart,253,0,0
1650009673888,840,Delete1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-3,,true,,26138,1937,3,3,null,820,3,0
1650009674490,250,Item4-190,200,OK,AddToCart 4-5,text,true,,449,481,3,3,https://api.demoblaze.com/addtocart,250,0,0
1650009674688,250,Delete1-255,200,OK,AddToCart 4-4,text,true,,449,480,3,3,https://api.demoblaze.com/viewcart,250,0,0
1650009674087,849,Delete1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-4,,true,,7423,1937,3,3,null,844,3,0
1650009674731,260,PlaceOrder-329,200,OK,AddToCart 4-3,text,true,,449,482,3,3,https://api.demoblaze.com/deletecart,260,0,0
1650009674741,292,Item4-191,200,OK,AddToCart 4-5,text,true,,307,553,3,3,https://api.demoblaze.com/addtocart,292,0,0
1650009675034,49,Item4-192,200,OK,AddToCart 4-5,text,true,,5106,517,3,3,https://www.demoblaze.com/index.html,47,0,0
1650009674441,640,Item4,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-5,,true,,11356,2068,3,3,null,634,2,0
1650009674939,256,PlaceOrder-329,200,OK,AddToCart 4-4,text,true,,449,482,3,3,https://api.demoblaze.com/deletecart,256,0,0
1650009674991,273,PlaceOrder-330,200,OK,AddToCart 4-3,text,true,,316,469,3,3,https://api.demoblaze.com/deletecart,273,0,0
1650009674731,533,PlaceOrder,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-3,,true,,765,951,3,3,null,533,0,0
1650009675084,256,Cart-218,200,OK,AddToCart 4-5,text,true,,5899,510,2,2,https://www.demoblaze.com/cart.html,254,0,0
1650009675195,271,PlaceOrder-330,200,OK,AddToCart 4-4,text,true,,316,468,2,2,https://api.demoblaze.com/deletecart,271,0,0
